author,title,note,tags,date
jeka,title,"(""('this',)"",)","(""('text', 'wery', 'nice', 'and', 'beautiful.', 'ok')"",)","15.01.2024,23:14"
vetal,title2,"(""('some',)"",)","(""('new', 'text', 'with', 'new', 'words', 'and', 'simbhoks.', 'we')"",)","15.01.2024,23:14"
vanya,title3,"(""('one',)"",)","(""('more', 'text.', 'cv')"",)","15.01.2024,23:14"
kolya,title4,"('this',)","('test', 'text', 'fo', 'test.', 'tagg')","15.01.2024,23:14"
jeka,title7,"('asdfa', 'asdfasd.', 're')",asdf,"15.01.2024,23:14"
wer,werw,werweh wneuweue ,rr,"15.01.2024,23:14"
jeka,tt,dsdfds dsfs df sd ,tt,"15.01.2024,23:14"
jeka,title8,some new text for test with vitalik,ee,"15.01.2024,23:14"
jeka,title10,one more text for tes,test,"15.01.2024,23:14"
jeka,title11,some text for test with command,rr,"15.01.2024,23:14"
command,title44,some text one more time ,tt,"15.01.2024,23:14"
jeka,title23,some text for test,,"15.01.2024,23:14"
